BLOCK_SIZE,n,t
65536,1,5.0704e-05
65536,15,7.47112e-05
65536,31,8.448451612903227e-05
65536,47,8.909089361702127e-05
65536,63,9.367904761904762e-05
65536,79,9.731886075949368e-05
65536,95,9.992507368421052e-05
65536,111,0.000102396
65536,127,0.0001047911811023622
65536,143,0.00010673265734265734
65536,159,0.00010823147169811321
65536,175,0.00010934575999999999
65536,191,0.00011055031413612566
65536,207,0.00011166000966183576
65536,223,0.00011277325560538117
65536,239,0.00011372749790794978
65536,255,0.00011482469019607843
65536,271,0.00011586330627306272
65536,287,0.00011695827177700349
65536,303,0.00011793178877887789
65536,319,0.00011888364890282131
65536,335,0.00011987499701492538
65536,351,0.00012070785185185184
65536,367,0.00012154930245231608
65536,383,0.0001224655091383812
65536,399,0.00012316087719298246
65536,415,0.00012386654939759037
65536,431,0.00012450210672853827
65536,447,0.00012510925279642058
65536,463,0.0001257459870410367
65536,479,0.00012627651356993737
65536,495,0.00012674755555555555
65536,511,0.000127215385518591
65536,527,0.00012780929411764706
65536,543,0.0001283393591160221
65536,559,0.0001289011914132379
65536,575,0.00012939797565217391
65536,591,0.0001299288426395939
65536,607,0.0001304094233937397
65536,623,0.00013085218619582665
65536,639,0.00013130235367762129
65536,655,0.00013178636641221375
65536,671,0.00013226234873323398
65536,687,0.00013271143231441046
65536,703,0.00013311493314367
65536,719,0.00013360499582753825
65536,735,0.0001340801931972789
65536,751,0.00013461061517976034
65536,767,0.00013502666492829204
65536,783,0.0011052519335887612
65536,799,0.0010860676370463079
65536,815,0.0010676251607361963
65536,831,0.0010499103008423587
65536,847,0.001032877147579693
65536,863,0.001016511214368482
65536,879,0.001000724992036405
65536,895,0.0009855033810055864
65536,911,0.0009708312250274423
65536,927,0.0009566784466019418
65536,943,0.0009429857688229056
65536,959,0.0009297585213764338
65536,975,0.0009169766605128206
65536,991,0.0009046315842583249
65536,1007,0.0008927045640516385
65536,1023,0.0008811465728250245
65536,1039,0.0008699245986525505
65536,1055,0.0008590871488151659
65536,1071,0.0008485436414565826
65536,1087,0.0008383312161913524
65536,1103,0.0008284245512239347
65536,1119,0.000818815417336908
65536,1135,0.0008094613162995595
65536,1151,0.0008004105768896611
65536,1167,0.0007916032750642674
65536,1183,0.0007830193491124261
65536,1199,0.000774649708090075
65536,1215,0.0007665190847736626
65536,1231,0.0007586140471161657
65536,1247,0.0007508890890136328
65536,1263,0.000743378368962787
65536,1279,0.0007360105441751369
65536,1295,0.0024465175521235522
65536,1311,0.0024195966422578185
65536,1327,0.00239332675810098
65536,1343,0.0023676882859270288
65536,1359,0.002342682189845475
65536,1375,0.0023182473352727274
65536,1391,0.0022944049360172536
65536,1407,0.0022710839971570715
65536,1423,0.0022482968067463103
65536,1439,0.002226028697706741
65536,1455,0.002204274125085911
65536,1471,0.0021829662692046227
65536,1487,0.002162122570275723
65536,1503,0.002141744223552894
65536,1519,0.0021217772995391704
65536,1535,0.0021022353876221497
65536,1551,0.0020831078207607994
65536,1567,0.0020643677255902998
65536,1583,0.0020460206077068856
65536,1599,0.0020280528155096934
65536,1615,0.0020104397374613005
65536,1631,0.0019931656995708156
65536,1647,0.001976210528233151
65536,1663,0.0019595928214070956
65536,1679,0.0019433112995830852
65536,1695,0.0019273316070796461
65536,1711,0.001911665366452367
65536,1727,0.001896277251881876
65536,1743,0.001881179007458405
65536,1759,0.0018663724729960206
65536,1775,0.0018518331684507041
65536,1791,0.0018375359731993299
65536,1807,0.0018234940121748756
65536,1823,0.0018097291453647833
65536,1839,0.0017961674736269712
65536,1855,0.001782855863072776
65536,1871,0.0017697817391769109
65536,1887,0.0017569335696873344
65536,1903,0.0017443070814503415
65536,1919,0.001731868973423658
65536,1935,0.0017196416496124032
65536,1951,0.0017076293808303434
65536,1967,0.0016957920742247075
65536,1983,0.0016841569046898638
65536,1999,0.0016727053496748375
65536,2015,0.0016614279394540942
