bench,BLOCK_SIZE,n,t
commit,16384,1,5.070400000000002e-05
commit,16384,15,7.447175833333333e-05
commit,16384,31,8.397260080645162e-05
commit,16384,47,8.980695478723403e-05
commit,16384,63,9.436502579365078e-05
commit,16384,79,9.758882120253164e-05
commit,16384,95,0.00010039729473684209
commit,16384,111,0.00010279178265765765
commit,16384,127,0.00010494604035433071
commit,16384,143,0.00010686131293706295
commit,16384,159,0.00010837912264150943
commit,16384,175,0.00010962355
commit,16384,191,0.00011081924476439787
commit,16384,207,0.00011188067753623188
commit,16384,223,0.0001129263918161435
commit,16384,239,0.0009114225815899581
commit,16384,255,0.0008620151215686276
commit,16384,271,0.0008184660106088561
commit,16384,287,0.0007798360914634145
commit,16384,303,0.0007453895218646866
commit,16384,319,0.0007144580811128527
commit,16384,335,0.0006864804156716416
commit,16384,351,0.0006611239729344729
commit,16384,367,0.0006380367752043597
commit,16384,383,0.002075234146214099
commit,16384,399,0.0020008257058270677
commit,16384,415,0.0019321722557228917
commit,16384,431,0.0018686315060904874
commit,16384,447,0.00180966581655481
commit,16384,463,0.0017547900442764581
commit,16384,479,0.0017036001886743218
commit,16384,495,0.0016557240724747477
commit,16384,511,0.0016108710261741686
commit,16384,527,0.001568758465844402
commit,16384,543,0.0015291429122928177
commit,16384,559,0.0014918133329606441
commit,16384,575,0.001456577689130435
commit,16384,591,0.0014232793534263957
commit,16384,607,0.001391735535214168
commit,16384,623,0.0013618229361958265
commit,16384,639,0.0014070293826291078
commit,16384,655,0.001450047039312977
commit,16384,671,0.0017670541596497766
commit,16384,687,0.0021348211206331878
commit,16384,703,0.0022588626408250358
commit,16384,719,0.0022793663793463145
commit,16384,735,0.002362973017687075
commit,16384,751,0.0024117487757989347
commit,16384,767,0.0023665442459256847
commit,16384,783,0.002323190197796935
commit,16384,799,0.00228157245916771
commit,16384,815,0.0022416069481595094
commit,16384,831,0.0022031840427196147
commit,16384,847,0.002166213037780401
commit,16384,863,0.0021306231694669755
commit,16384,879,0.0020963322856939704
commit,16384,895,0.0020884370973463687
commit,16384,911,0.0021054565260702524
commit,16384,927,0.002194768803937433
commit,16384,943,0.002161651885206787
commit,16384,959,0.0021296382621220017
commit,16384,975,0.0020986813425641023
commit,16384,991,0.002068726409056509
commit,16384,1007,0.002039735266509434
commit,16384,1023,0.0020116554677419352
commit,16384,1039,0.0019844432163137636
commit,16384,1055,0.0019580650228672985
commit,16384,1071,0.0019324696413398693
commit,16384,1087,0.001907629879369825
commit,16384,1103,0.0018835180592701721
commit,16384,1119,0.0018600981764968722
commit,16384,1135,0.0018373423682819384
commit,16384,1151,0.0018739330143353605
commit,16384,1167,0.0019304631134318764
commit,16384,1183,0.0019648252032967036
commit,16384,1199,0.0019811136982902417
commit,16384,1215,0.002054976894135802
commit,16384,1231,0.0020697489273964254
commit,16384,1247,0.002102962937750601
commit,16384,1263,0.002172531880047506
commit,16384,1279,0.0022036502009382328
commit,16384,1295,0.002252173291409266
commit,16384,1311,0.0023174387633485886
commit,16384,1327,0.0023457042845704597
commit,16384,1343,0.002373326059568131
commit,16384,1359,0.0024348698248712287
commit,16384,1375,0.002466962504909091
commit,16384,1391,0.002548930790168943
commit,16384,1407,0.0025556564318585644
commit,16384,1423,0.0026453921213106116
commit,16384,1439,0.0026678503110667126
commit,16384,1455,0.0026575706580756015
commit,16384,1471,0.0026634666689326985
commit,16384,1487,0.0026692386547579015
commit,16384,1503,0.002643653897621424
commit,16384,1519,0.002665003879361422
commit,16384,1535,0.002640008519218241
commit,16384,1551,0.0026155287009993547
commit,16384,1567,0.002613102839582004
commit,16384,1583,0.0026320835578016425
commit,16384,1599,0.0026506663001094432
commit,16384,1615,0.0026339784598297215
commit,16384,1631,0.002610703868792152
commit,16384,1647,0.002587883120749848
commit,16384,1663,0.0025655008093054717
commit,16384,1679,0.002543554383636093
commit,16384,1695,0.002522014077507375
commit,16384,1711,0.002500875863749269
commit,16384,1727,0.0024801347363202085
commit,16384,1743,0.002459777593516925
commit,16384,1759,0.0024397925574189882
commit,16384,1775,0.002439221307042254
commit,16384,1791,0.0024575443722780568
commit,16384,1807,0.0024755421539845047
commit,16384,1823,0.0024623073795255073
commit,16384,1839,0.002443170024877651
commit,16384,1855,0.002424365665633423
commit,16384,1871,0.0024058869665954034
commit,16384,1887,0.0023877212396661365
commit,16384,1903,0.0023698613432080926
commit,16384,1919,0.0023523081500781656
commit,16384,1935,0.002335051893217054
commit,16384,1951,0.00231807079382368
commit,16384,1967,0.002301371674250127
commit,16384,1983,0.002301991315179022
commit,16384,1999,0.002319517975050025
commit,16384,2015,0.0023367661343672457
commit,16384,2031,0.0023259967583087147
commit,16384,2047,0.002309889742244749
commit,16384,2063,0.0022940325059379544
commit,16384,2079,0.0022784190298220297
commit,16384,2095,0.002274255801133652
commit,16384,2111,0.0022590357055897676
commit,16384,2127,0.002244051282851434
commit,16384,2143,0.0022292907442253845
commit,16384,2159,0.0022147472871120893
commit,16384,2175,0.002200421670689655
commit,16384,2191,0.002217592052316294
