bench,BLOCK_SIZE,n,t
commit,32768,1,5.070400000000002e-05
commit,32768,2,5.3868e-05
commit,32768,3,5.716033333333335e-05
commit,32768,4,5.897690625e-05
commit,32768,5,6.1340175e-05
commit,32768,6,6.319768750000002e-05
commit,32768,7,6.504560714285715e-05
commit,32768,8,6.702692187499998e-05
commit,32768,9,6.843058333333333e-05
commit,32768,10,6.98007e-05
commit,32768,11,7.076948863636364e-05
commit,32768,12,7.179382291666666e-05
commit,32768,13,7.272730769230769e-05
commit,32768,14,7.364904464285715e-05
commit,32768,15,7.447175833333333e-05
commit,32768,16,7.54103359375e-05
commit,32768,17,7.611924264705884e-05
commit,32768,18,7.691024305555553e-05
commit,32768,19,7.751669736842105e-05
commit,32768,20,7.8269975e-05
commit,32768,21,7.897162500000001e-05
commit,32768,22,7.962669318181818e-05
commit,32768,23,8.021788043478261e-05
commit,32768,24,8.081998958333334e-05
commit,32768,25,8.140294999999999e-05
commit,32768,26,8.194592788461538e-05
commit,32768,27,8.23286388888889e-05
commit,32768,28,8.277467857142857e-05
commit,32768,29,8.318921120689656e-05
commit,32768,30,8.357829166666665e-05
commit,32768,31,8.397260080645162e-05
commit,32768,32,8.439117187499999e-05
commit,32768,33,8.47412196969697e-05
commit,32768,34,8.505305514705882e-05
commit,32768,35,8.545776785714286e-05
commit,32768,36,8.579468750000002e-05
commit,32768,37,8.613121621621623e-05
commit,32768,38,8.652318092105263e-05
commit,32768,39,8.68591314102564e-05
commit,32768,40,8.727827187500001e-05
commit,32768,41,8.764373170731708e-05
commit,32768,42,8.803258928571427e-05
commit,32768,43,8.838418895348835e-05
commit,32768,44,8.878811363636364e-05
commit,32768,45,8.916845555555556e-05
commit,32768,46,8.947004076086957e-05
commit,32768,47,8.980695478723403e-05
commit,32768,48,9.011575260416666e-05
commit,32768,49,9.044873469387755e-05
commit,32768,50,9.080443750000001e-05
commit,32768,51,9.112301715686275e-05
commit,32768,52,9.14381971153846e-05
commit,32768,53,9.175050235849057e-05
commit,32768,54,9.202367824074075e-05
commit,32768,55,9.234486363636366e-05
commit,32768,56,9.262347544642858e-05
commit,32768,57,9.288470614035088e-05
commit,32768,58,9.315236206896554e-05
commit,32768,59,9.341113347457627e-05
commit,32768,60,9.363098333333334e-05
commit,32768,61,9.389342213114753e-05
commit,32768,62,9.41568689516129e-05
commit,32768,63,9.436502579365078e-05
commit,32768,64,9.4581962890625e-05
commit,32768,65,9.480998461538459e-05
commit,32768,66,9.506623674242426e-05
commit,32768,67,9.522807462686567e-05
commit,32768,68,9.54184411764706e-05
commit,32768,69,9.559931340579711e-05
commit,32768,70,9.580351071428571e-05
commit,32768,71,9.602191373239435e-05
commit,32768,72,9.623630555555555e-05
commit,32768,73,9.644768493150685e-05
commit,32768,74,9.665408614864865e-05
commit,32768,75,9.687184166666667e-05
commit,32768,76,9.705082565789472e-05
commit,32768,77,9.724421753246752e-05
commit,32768,78,9.741398076923077e-05
commit,32768,79,9.758882120253164e-05
commit,32768,80,9.778368125e-05
commit,32768,81,9.796490277777777e-05
commit,32768,82,9.817053048780488e-05
commit,32768,83,9.832009789156625e-05
commit,32768,84,9.84883988095238e-05
commit,32768,85,9.865669117647058e-05
commit,32768,86,9.883179796511627e-05
commit,32768,87,9.901513936781609e-05
commit,32768,88,9.917907528409091e-05
commit,32768,89,9.9333904494382e-05
commit,32768,90,9.951019722222222e-05
commit,32768,91,9.968768131868133e-05
commit,32768,92,9.986524320652176e-05
commit,32768,93,0.0001000373252688172
commit,32768,94,0.0001002161595744681
commit,32768,95,0.00010039729473684209
commit,32768,96,0.00010056647135416666
commit,32768,97,0.00010068843685567011
commit,32768,98,0.00010087994770408163
commit,32768,99,0.00010102847348484849
commit,32768,100,0.00010120188374999999
commit,32768,101,0.0001013472698019802
commit,32768,102,0.00010150865931372549
commit,32768,103,0.00010164231917475729
commit,32768,104,0.00010179275600961539
commit,32768,105,0.00010196334523809525
commit,32768,106,0.0001020952087264151
commit,32768,107,0.00010224745794392524
commit,32768,108,0.00010238019675925927
commit,32768,109,0.00010254694036697247
commit,32768,110,0.00010268563295454545
commit,32768,111,0.00010279178265765765
commit,32768,112,0.00010296151674107145
commit,32768,113,0.00010308035951327433
commit,32768,114,0.00010322449780701754
commit,32768,115,0.00010336278152173912
commit,32768,116,0.00010353319396551724
commit,32768,117,0.00010365084401709405
commit,32768,118,0.00010381039406779662
commit,32768,119,0.00010393333403361344
commit,32768,120,0.00010406726666666666
commit,32768,121,0.00010421579338842977
commit,32768,122,0.00010434869262295084
commit,32768,123,0.00010447437906504066
commit,32768,124,0.00010459343346774193
commit,32768,125,0.000104710358
commit,32768,126,0.00010485791170634921
commit,32768,127,0.00010494604035433071
commit,32768,128,0.00010506047753906249
commit,32768,129,0.00010516291763565891
commit,32768,130,0.00010529631538461539
commit,32768,131,0.00010543145515267176
commit,32768,132,0.00010556766761363637
commit,32768,133,0.00010569758270676693
commit,32768,134,0.00010580169309701495
commit,32768,135,0.00010592489444444445
commit,32768,136,0.00010605577849264706
commit,32768,137,0.00010619036313868613
commit,32768,138,0.00010631344112318842
commit,32768,139,0.00010641313489208632
commit,32768,140,0.00010651376160714286
commit,32768,141,0.00010660913475177304
commit,32768,142,0.00010673295774647887
commit,32768,143,0.00010686131293706295
commit,32768,144,0.00010697300260416665
commit,32768,145,0.00010707716810344827
commit,32768,146,0.00010716493150684931
commit,32768,147,0.00010727590221088435
commit,32768,148,0.00010734046621621621
commit,32768,149,0.00010743616526845636
commit,32768,150,0.00010752710916666666
commit,32768,151,0.00010764212996688741
commit,32768,152,0.00010775184621710526
commit,32768,153,0.00010786461764705882
commit,32768,154,0.00010796789691558441
commit,32768,155,0.00010804857338709679
commit,32768,156,0.00010813121634615384
commit,32768,157,0.00010821245222929936
commit,32768,158,0.00010827667088607596
commit,32768,159,0.00010837912264150943
commit,32768,160,0.00010845505546875
commit,32768,161,0.00010854437732919255
commit,32768,162,0.00010861564043209875
commit,32768,163,0.00010868906595092026
commit,32768,164,0.0001087882195121951
commit,32768,165,0.00010886186818181818
commit,32768,166,0.00010893221536144579
commit,32768,167,0.00010899589745508984
commit,32768,168,0.00010905724702380953
commit,32768,169,0.00010913650665680473
commit,32768,170,0.00010921246544117647
commit,32768,171,0.00010929203508771931
commit,32768,172,0.000109366625
