bench,ORDER,n,t
create,2,1,5.070400000000002e-05
create,2,15,8.5086875e-05
create,2,31,9.262425000000002e-05
create,2,47,0.00010063312500000001
create,2,63,0.00010702725
create,2,79,0.00010857124999999998
create,2,95,0.00011228462500000001
create,2,111,0.0001154545
create,2,127,0.00011750337499999998
create,2,143,0.00012003025000000002
create,2,159,0.00011953587500000003
create,2,175,0.00011843712499999998
create,2,191,0.00012055274999999999
create,2,207,0.00012192587500000001
create,2,223,0.00012211775
create,2,239,0.00012404612499999996
create,2,255,0.00012918237499999998
create,2,271,0.000126556625
create,2,287,0.00012770450000000003
create,2,303,0.000131159875
create,2,319,0.0001338295
create,2,335,0.000134351375
create,2,351,0.000133895625
create,2,367,0.00013839475
create,2,383,0.00013548874999999995
create,2,399,0.0001360165
create,2,415,0.00013898212500000002
create,2,431,0.00013816425
create,2,447,0.00013884
create,2,463,0.00013855975
create,2,479,0.000139411
create,2,495,0.000144503375
create,2,511,0.00013750487500000002
create,2,527,0.00013999899999999997
create,2,543,0.00014265225
create,2,559,0.00014495975
create,2,575,0.000144986625
create,2,591,0.00014742575
create,2,607,0.00014435475000000003
create,2,623,0.000143162375
create,2,639,0.000145684
create,2,655,0.0001471455
create,2,671,0.00014765037500000003
create,2,687,0.00014835950000000002
create,2,703,0.00015170950000000002
create,2,719,0.00014943600000000002
create,2,735,0.000146118125
create,2,751,0.00014679387500000002
create,2,767,0.000149424875
create,2,783,0.000147799
create,2,799,0.00015134275
create,2,815,0.000149606875
create,2,831,0.00014917800000000003
create,2,847,0.000149551875
create,2,863,0.00015021125
create,2,879,0.000149864875
create,2,895,0.00014966125
create,2,911,0.00014938687500000002
create,2,927,0.0001543365
create,2,943,0.0001549075
create,2,959,0.00014989237499999999
create,2,975,0.00015679200000000003
create,2,991,0.000155989875
create,2,1007,0.00015463775000000004
create,2,1023,0.00015646199999999998
create,2,1039,0.00015597874999999996
create,2,1055,0.00015602262500000001
create,2,1071,0.000156253125
create,2,1087,0.00015712725
create,2,1103,0.0001549625
create,2,1119,0.000156467875
create,2,1135,0.00015809375000000003
create,2,1151,0.00015746775000000001
create,2,1167,0.00015852200000000002
create,2,1183,0.000157616375
create,2,1199,0.00016258175
create,2,1215,0.00015974125000000003
create,2,1231,0.00015979687500000003
create,2,1247,0.00016028537500000002
create,2,1263,0.00015619287499999998
create,2,1279,0.00015816512499999998
create,2,1295,0.00015881337500000002
create,2,1311,0.000163966
create,2,1327,0.00016260924999999998
create,2,1343,0.000156818875
create,2,1359,0.00016003325
create,2,1375,0.000160747
create,2,1391,0.000161807125
create,2,1407,0.00016232900000000004
create,2,1423,0.00016270225
create,2,1439,0.00016415849999999998
create,2,1455,0.000166399875
create,2,1471,0.000163696875
create,2,1487,0.000166559
create,2,1503,0.00016763550000000002
create,2,1519,0.0001658885
create,2,1535,0.0001661635
create,2,1551,0.00016433925
create,2,1567,0.000168190125
