bench,ORDER,n,t
create,2,1,5.070400000000002e-05
create,2,2,5.070400000000002e-05
create,2,3,5.730700000000001e-05
create,2,4,6.363500000000002e-05
create,2,5,6.483262500000002e-05
create,2,6,6.935924999999999e-05
create,2,7,7.205637499999998e-05
create,2,8,7.456687499999999e-05
create,2,9,8.003250000000002e-05
create,2,10,7.936787500000001e-05
create,2,11,8.017000000000001e-05
create,2,12,7.920349999999999e-05
create,2,13,8.154375000000001e-05
create,2,14,8.307074999999999e-05
create,2,15,8.5086875e-05
create,2,16,8.617974999999999e-05
create,2,17,8.5482375e-05
create,2,18,8.807537500000002e-05
create,2,19,8.843812500000001e-05
create,2,20,9.0064e-05
create,2,21,9.128325e-05
create,2,22,9.331049999999998e-05
create,2,23,9.134349999999999e-05
create,2,24,9.184375e-05
create,2,25,9.209649999999999e-05
create,2,26,9.112412500000002e-05
create,2,27,9.333212500000001e-05
create,2,28,9.357437499999999e-05
create,2,29,9.209062499999999e-05
create,2,30,9.28325e-05
create,2,31,9.262425000000002e-05
create,2,32,9.399675000000001e-05
create,2,33,9.585899999999998e-05
create,2,34,9.421150000000002e-05
create,2,35,9.8156e-05
create,2,36,9.6832e-05
create,2,37,9.998487500000001e-05
create,2,38,9.608487500000001e-05
create,2,39,9.7408875e-05
create,2,40,9.9073375e-05
create,2,41,9.937525e-05
create,2,42,0.00010171024999999999
create,2,43,9.917749999999998e-05
create,2,44,0.000101561625
create,2,45,9.958412499999998e-05
create,2,46,0.00010096837499999999
create,2,47,0.00010063312500000001
create,2,48,0.00010420375
create,2,49,0.00010319862499999998
create,2,50,0.00010197349999999999
create,2,51,0.00010392937499999997
create,2,52,0.00010335774999999999
create,2,53,0.00010331912499999999
create,2,54,0.0001053955
create,2,55,0.0001059285
create,2,56,0.00010768662500000001
create,2,57,0.00010575824999999999
create,2,58,0.000106247375
create,2,59,0.00010674175000000001
create,2,60,0.00010762049999999998
create,2,61,0.000106615375
create,2,62,0.00010884562499999999
create,2,63,0.00010702725
create,2,64,0.00010932949999999999
create,2,65,0.00010488474999999999
create,2,66,0.00010533
create,2,67,0.00010719225
create,2,68,0.00010737362499999999
create,2,69,0.00010891762499999998
create,2,70,0.000110394875
create,2,71,0.000106582625
create,2,72,0.00010630237500000002
create,2,73,0.0001076205
create,2,74,0.00010564887499999999
create,2,75,0.000110697375
create,2,76,0.00010760999999999998
create,2,77,0.000107291125
create,2,78,0.000105934375
create,2,79,0.00010857124999999998
create,2,80,0.00010934062499999999
create,2,81,0.00010808212499999999
create,2,82,0.000109631375
create,2,83,0.00010738475
create,2,84,0.00010890649999999998
create,2,85,0.00011119112499999999
create,2,86,0.00011085062500000001
create,2,87,0.00011012575
create,2,88,0.00010886262499999997
create,2,89,0.00011115837500000001
create,2,90,0.000113202
create,2,91,0.00011140587499999998
create,2,92,0.00011452012500000001
create,2,93,0.00011365837500000001
create,2,94,0.00011321312500000002
create,2,95,0.00011228462500000001
create,2,96,0.00011471262500000002
create,2,97,0.000112889
create,2,98,0.00011398187500000002
create,2,99,0.00011325699999999999
create,2,100,0.0001127895
create,2,101,0.000112229625
create,2,102,0.0001133225
create,2,103,0.00011434462500000001
create,2,104,0.000113888875
create,2,105,0.000114399625
create,2,106,0.000116404625
create,2,107,0.0001149765
create,2,108,0.00011621275
create,2,109,0.000115482
create,2,110,0.00011445462500000001
create,2,111,0.0001154545
create,2,112,0.00011279012500000001
create,2,113,0.000115673875
create,2,114,0.00011236712499999998
create,2,115,0.00011372387500000001
create,2,116,0.000119563375
create,2,117,0.00011794275000000002
create,2,118,0.00011608575
create,2,119,0.00011687150000000001
create,2,120,0.00011563587500000001
create,2,121,0.00011596525
create,2,122,0.00011835462500000001
create,2,123,0.0001147565
create,2,124,0.00011761337500000002
create,2,125,0.000118217125
create,2,126,0.00011994775000000001
create,2,127,0.00011750337499999998
create,2,128,0.00011939837500000002
create,2,129,0.000116992625
create,2,130,0.00011761337499999999
create,2,131,0.000120096375
create,2,132,0.00011970087499999998
create,2,133,0.000118376875
create,2,134,0.00011862962499999999
create,2,135,0.00012000275
create,2,136,0.000120096375
create,2,137,0.00011819025
